id,lemma,pronunciation
1332,ἀδόλεσχος,
1335,ἅδον,
1337,ἀδονίς,
1341,ἀδόξημα,
1342,ἀδοξία,
1348,ἅδος,
1349,ἅδος,
1350,ἇδος,
1355,ἀδουλία,
1360,ἀδράνεια,
1365,Ἀδράστεια,/a.drǎːs.teː.a/
1368,ἀδράφαξυς,
1373,Ἀδρίας,/a.drí.aːs/
1374,ἀδρανανικός,
1375,ἀδρανατικός,
1378,ἁδρογραφία,
1381,Ἀδρόμιος,
1387,ἀδροσία,
1388,ἁδροσύνη,
1390,ἁδροτής,
1391,ἁδρόχωρον,
1393,ἄδρυα,
1394,ἀδρυάς,
1395,ἅδρυνσις,
1399,ἁδρώδης,
1400,ἁδυβόας,
1402,ἀδυναμία,
1404,ἀδυνασία,
1414,ἀδών,
1415,Ἄδων,
1416,Ἀδωναία,
1417,Ἀδωνάρια,
1419,Ἀδωνιά,
1421,Ἀδωνιάς,
1422,Ἀδωνιασμός,
1423,Ἀδώνιος,
1424,Ἄδωνις,/á.dɔː.nis/
1425,Ἀδωνίσιος,
1426,Ἀδωνιών,
1428,ἀδωρία,
1430,ἀδωροδοκία,
1434,ἀδωσιδικία,
1436,ἀδώτης,
1439,ἀέθλευμα,
1440,ἀέθλιον,
1442,ἀεθλοθέτης,
1443,ἄεθλον,/á.e.tʰlon/
1444,ἀεθλονικία,
1445,ἀεθλοσύνη,
1450,ἀειβλάστησις,
1453,ἀειγενεσία,
1454,ἀειγενέτης,
1457,ἀειγεννητής,
1458,ἀειγλεῦκος,
1460,ἀειδάκρυτος,
1465,ἀειδία,
1468,ἀειδουλεία,
1469,ἀειδράστεια,
1471,ἀειεστώ,
1473,ἀειζωία,
1475,ἀείζωον,
1477,ἀειζώων,
1486,ἀεικία,
1488,ἀεικινησία,
1496,ἀειλογία,
1507,ἀειναῦται,
1508,ἀείνως,
1511,ἀειπάρθενος,
1517,ἀείς,
1518,ἀείσε,
1519,ἀεισιτία,
1521,ἀείσκωψ,
1522,ἄεισμα,
1524,ἀείτας,
1530,ἀειφυγία,
1532,ἀειφυλλία,
1536,ἀείχρυσον,
1543,ἀέλιοι,
1544,ἀέλιος,
1545,ἄελλα,
1548,ἀελλὴς,
1549,ἀελλησιθύμοις,
1551,ἀέλλοθριξ,
1553,ἀέλλοπος,
1554,ἀελλός,
1555,Ἀελλώ,
1559,ἀελπτία,
1561,ἄεμμα,
1564,ἀενάων,
1576,ἀεργία,
1580,Ἀερία,
1582,ἀερικόν,
1586,ἀερίτης,
1587,ἀερῖτις,
1590,ἀεροβάτης,
1597,ἀερόεις,
1599,ἀεροκόρδακες,
1600,ἀερολέσχης,
1601,ἀερομαντεία,
1602,ἀερόμαντις,
1603,ἀερομαχία,
1604,ἀερόμελι,
1619,ἀεροσκοπία,
1620,ἀερότεμις,
1627,ἀερόχροος,
1628,ἀέροψ,
1634,ἀερσιπόδης,
1636,ἀερσιπότης,
1638,ἀέρσιπονς,
1639,ἀερσίφρων,
1642,ἀέρωσις,
1643,ἀές,
1645,ἀεσιφροσύνη,
1650,ἀετιδεύς,
1651,ἀετίτης,
1653,ἀετός,/aː.e.tós/
1654,ἀετοφόρος,
1656,ἀέτωμα,
1657,ἀετώνυχον,
1659,ἀέτωσις,
1660,ἀέχεια,
1661,ἀϝάταται,
1662,ἀϝλανέως,
1663,ἄζα,
1664,ἀζαές,
1667,Ἀζᾶνες,
1672,ἀζηλία,
1680,ἀζῆρις,
1681,Ἀζησία,
1685,ἀζος,
1687,Ἀζόσιος,
1691,ἄζυξ,
1695,ἀζωί̈α,
1703,ἀηδία,
1705,ἀηδισμός,
1706,ἀηδονία,
1707,ἀηδονιδεύς,
1708,ἀηδόνιον,
1710,ἀηδονίς,
1713,ἀηδώ,
1714,ἀηδών,
1715,ἀήθεια,
1719,ἀηθία,
1721,ἄημα,
1723,ἀήρ,/aː.ɛ̌ːr/
1724,ἄησις,
1729,ἀήτης,
1730,ἀητόρρους,
1731,ἄητος,
1736,ἀθαλασσία,
1743,ἀθαμβία,
1745,Ἀθάνα,/a.tʰǎː.naː/
1746,ἀθανασία,
1748,ἀθανατισμός,
1753,ἀθαράπευτος,
1754,ἀθάρη,/a.tʰá.rɛː/
1757,ἀθαυμαστία,
1759,ἀθεάμων,
1761,ἀθεησίη,
1763,ἀθεί̈α,
1768,ἀθελγία,
1777,ἄθεμις,
1779,ἀθεμιστία,
1782,ἀθεμιτογαμία,
1783,ἀθεμιτομιξία,
1785,ἀθεμιτουργία,
1790,ἀθεότης,/a.tʰe.ó.tɛːs/
1791,ἀθεραπεία,
1792,ἀθεραπευσία,
1794,ἀθερηίς,
1797,ἀθερίνη,
1801,ἀθερολόγιον,
1803,ἀθέρωμα,
1804,ἀθεσία,
1805,ἀθεσμία,
1814,ἀθέτημα,
1816,ἀθέτησις,
1820,ἀθεωρησία,
1828,ἄθηλυς,
1829,Ἀθῆναι,/a.tʰɛ̂ː.nai̯/
1831,ἀθεώρησιν,
1832,Ἀθήναια,
1835,Ἀθήναιον,/a.tʰɛ̌ː.nai̯.on/
1836,Ἀθηναιότης,
1837,Ἀθήνη,/a.tʰɛ̌ː.nɛː/
1839,ἀθήρ,
1840,ἀθήρα,
1843,ἀθηρηλοιγός,
1844,ἀθηρία,
1846,ἀθηροπώλης,
1849,ἀθήρωμα,/a.tʰɛ̌ː.rɔː.ma/
1850,ἀθηρωμάτιον,
1858,ἄθλημα,/á.tʰlɛː.ma/
1859,ἄθλησις,
1861,ἀθλητήρ,
1862,ἀθλητής,/a.tʰlɛː.tɛ̌ːs/
1870,ἀθλιότης,
1872,ἀθλοθεσία,
1874,ἀθλοθετήρ,
1875,ἀθλοθέτης,
1876,ἆθλον,/âː.tʰlon/
1877,ἆθλος,/âː.tʰlos/
1878,ἀθλοσύνη,
1885,ἄθουρος,
1886,ἀθραγένη,
1893,ἀθρήματα,
1898,ἄθριξ,
1901,ἄθροισις,
1902,ἄθροισμα,
1903,ἀθροισμός,
1905,ἀθροοποσία,
1908,ἀθροότης,
1910,ἀθρυψία,
1913,ἀθυμία,/a.tʰyː.mí.aː/
1918,ἄθυρμα,/á.tʰyr.ma/
1919,ἀθυρμάτιον,
1920,ἀθυρογλωττία,
1924,ἀθυροστομία,
1926,ἄθυρσις,
1937,Ἄθως,/á.tʰɔːs/
1938,ἀθῴ́ωσις,
1940,αἴ,
1941,ἀί̈,
1942,αἶα,
1943,αἶα,
1944,αἶα,
1945,αἴαγμα,
1947,αἰαῖ,
1948,αἰακίς,
1953,Αἴας,/aí̯.aːs/
1954,αἰαστής,
1955,αἰβετός,
1956,αἰβοῖ,
1957,αἴγαγρος,/aí̯.ɡa.ɡros/
1960,Αἰγαίων,
1961,αἰγανέη,
1962,αἰγάριον,
1964,αἰγέα,
1965,Αἰγεῖον,
1968,αἴγειρος,
1970,αἰγειρών,
1971,αἰγελάτης,
1973,αἴγερος,
1977,αἰγιαλεύς,
1979,αἰγιαλίτης,
1980,αἰγιαλός,/ai̯.ɡi.a.lós/
1981,αἰγιαλοφύλαξ,
1983,αἰγιαλώτης,
1984,αἰγιάς,
1985,αἰγιβάτης,
1986,αἰγίβοσις,
1988,αἰγίδιον,
1990,αἰγίθαλλος,
1991,αἴγιθος,
1992,αἰγίκερας,
1994,αἰγικορεῖς,
1996,αἰγιλάδην,
1997,αἰγίλιψ,
1998,αἴγιλος,/aí̯.ɡi.los/
2000,αἰγιλώπιον,
2001,αἰγίλωψ,/ai̯.ɡí.lɔːps/
2002,Αἴγινα,/aí̯.ɡiː.na/
2004,αἰγίνη,
2005,αἰγινομεύς,
2007,αἴγινος,
2008,αἴγινος,
2009,αἰγίοθος,
2011,Αἰγίπαν,
2013,Αἰγιπόδης,
2014,Αἰγίπους,
2015,αἰγίπυρος,
2016,αἰγίς,/ai̯.ɡís/
2017,αἰγίσκος,
2018,αἰγλάεις,
2020,αἴγλη,
2022,αἰγλήτης,
2025,αἰγοβάτης,
2026,αἰγοβόλος,
2027,αἰγοβοσκός,
2028,αἰγοδίωξ,
2029,αἰγοθήλας,
2031,αἰγόκερας,
2032,αἰγοκεριανός,
2033,αἰγοκέρως,
2034,αἰγοκέφαλος,
2035,αἰγόλεθρος,
2037,αἰγόμορον,
2038,αἰγονομεύς,
2039,αἰγονόμιον,
2041,αἰγόνυξ,
2043,αἰγοπόδης,
2045,αἰγόστασις,
2049,αἰγόφθαλμος,
2050,αἰγυπιός,
2051,αἰγυπτάριον,
2055,Αἰγυπτιασμός,
2061,Αἴγυπτος,/aí̯.ɡyp.tos/
2062,αἰγωλιός,
2063,αἰγών,
2064,αἰγῶνυξ,
2067,Ἀί̈δας,
2069,αἰδεσιμότης,
2070,αἴδεσις,
